"Date","Type","Check #","Description","Withdrawal (-)","Deposit (+)","RunningBalance"
"08/05/2026","VISA","","TRADER JOE'S #552 SAN JOSE CA","$62.47","","$2,410.20"
"08/04/2026","VISA","","CHIPOTLE 1178 SAN JOSE CA","$14.85","","$2,472.67"
"08/03/2026","ACH","","PAYROLL ACME CORP DIRECT DEP","","$1,850.00","$2,487.52"
"08/02/2026","VISA","","NETFLIX.COM LOS GATOS CA","$15.49","","$637.52"
"08/01/2026","VISA","","SHELL OIL 5744 CUPERTINO CA","$48.10","","$653.01"
"07/29/2026","VISA","","AMAZON MKTPL*RT4Y82 SEATTLE WA","$38.99","","$701.11"
"07/28/2026","VISA","","CVS/PHARMACY #9812 SAN JOSE CA","$21.63","","$740.10"
"07/25/2026","VISA","","AMC ONLINE 0931 LEAWOOD KS","$32.00","","$761.73"
"07/20/2026","ACH","","PAYROLL ACME CORP DIRECT DEP","","$1,850.00","$793.73"
"07/18/2026","VISA","","SAFEWAY #1289 SAN JOSE CA","$84.12","","$943.73"
"07/15/2026","ACH","","T-MOBILE AUTOPAY","$70.00","","$1,027.85"
"07/12/2026","VISA","","UBER TRIP HELP.UBER.COM","$18.35","","$1,097.85"
"07/08/2026","VISA","","STARBUCKS 800-782-7282","$6.75","","$1,116.20"
"06/28/2026","VISA","","WHOLE FOODS MKT 10267 CUPERTINO","$56.30","","$1,122.95"
"06/20/2026","ACH","","PAYROLL ACME CORP DIRECT DEP","","$1,850.00","$1,179.25"
"06/15/2026","VISA","","STEAMGAMES.COM 425-952-2985 WA","$29.99","","$329.25"
"06/10/2026","VISA","","PG&E AUTOPAY","$88.40","","$359.24"
